,Unnamed: 0.1,Unnamed: 0,identificación,id_host,latitud,longitud,se adapta,noches_mínimo,noches_maximas,noches_mínimo_avg_ntm,máximas_noches_avg_ntm,disponibilidad_30,disponibilidad_60,disponibilidad_90,disponibilidad_365,número_de_reseñas,número_de_reviews_ltm,número_de_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_comunicación,review_scores_location,review_scores_value,calculado_host_listings_count,listados_host_calculados_recuento_casas_enteras,calculado_host_listings_count_private_rooms,calculado_host_listings_count_shared_rooms
8072,8072,8072,1.16e+18,534161844,39.48111865,-0.327131972,2.0,2.0,365,2.0,365.0,25,47,75,350,14.0,14.0,4.0,4.5,4.36,4.86,4.79,4.93,4.71,4.07,3.0,3.0,0.0,0.0
8073,8073,8073,1.16e+18,578222475,39.46800226,-0.340255648,2.0,2.0,365,2.0,365.0,29,59,89,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8074,8074,8074,1.16e+18,488881832,39.47162123,-0.345762333,2.0,2.0,90,2.0,1125.0,17,47,77,77,10.0,10.0,1.0,4.8,4.6,4.9,4.8,4.8,4.5,4.9,4.0,0.0,4.0,0.0
8075,8075,8075,1.16e+18,487327510,39.4615498,-0.3771344,4.0,2.0,90,2.0,90.0,1,12,34,232,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
8076,8076,8076,1.16e+18,578389331,39.4445977,-0.3896614,2.0,3.0,20,3.0,1125.0,8,31,53,158,4.0,4.0,2.0,4.5,5.0,3.75,4.75,5.0,4.5,4.5,1.0,1.0,0.0,0.0
8077,8077,8077,1.16e+18,398852826,39.46734,-0.32998,4.0,2.0,365,2.0,365.0,23,51,81,81,11.0,11.0,2.0,4.73,4.73,5.0,4.73,5.0,4.73,4.45,3.0,1.0,2.0,0.0
8078,8078,8078,1.16e+18,567016861,39.46413932,-0.324281593,4.0,1.0,365,1.0,365.0,8,13,13,146,2.0,2.0,2.0,4.5,4.0,4.0,4.0,4.0,4.5,4.0,4.0,0.0,4.0,0.0
8079,8079,8079,1.16e+18,503645334,39.48271,-0.3268,4.0,11.0,365,11.0,365.0,19,49,74,183,12.0,12.0,4.0,4.83,4.83,4.83,4.83,5.0,4.92,4.83,6.0,6.0,0.0,0.0
8080,8080,8080,1.16e+18,503645334,39.4660728,-0.3806823,4.0,3.0,365,3.0,365.0,10,37,64,224,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,0.0,0.0
8081,8081,8081,1.16e+18,154659186,39.46816,-0.37927,2.0,32.0,62,32.0,62.0,0,0,0,0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,14.0,3.0,0.8,1.0
